team,assigned_archetype,archetype_name,distance_to_center
Ghana,1,Balanced Mainstream,17.954963605744815
Switzerland,1,Balanced Mainstream,2.6719998576850403
England,0,Proactive Organizers,7.627687913036042
Canada,1,Balanced Mainstream,3.1093813087635773
Japan,1,Balanced Mainstream,16.041679836994884
Georgia,1,Balanced Mainstream,39.56600321799074
Croatia,0,Proactive Organizers,4.016326167441984
Qatar,1,Balanced Mainstream,14.764992169110014
France,0,Proactive Organizers,10.115920778611624
Romania,1,Balanced Mainstream,40.159925037766364
Costa Rica,1,Balanced Mainstream,44.45468145906869
Ecuador,1,Balanced Mainstream,21.252822975215047
Panama,1,Balanced Mainstream,9.166731480397026
Mexico,0,Proactive Organizers,5.850873880727579
Morocco,1,Balanced Mainstream,25.952034808860855
Poland,1,Balanced Mainstream,32.89614105590245
Chile,1,Balanced Mainstream,13.413062145924044
Belgium,1,Balanced Mainstream,10.686581270146771
Venezuela,1,Balanced Mainstream,13.139416493883132
Paraguay,1,Balanced Mainstream,6.3720507133417
Wales,1,Balanced Mainstream,22.76526620390362
Germany,2,Elite Attackers,14.082945428939034
Spain,2,Elite Attackers,2.8319967943247475
Netherlands,1,Balanced Mainstream,8.834443945661327
South Korea,1,Balanced Mainstream,14.03895650438568
United States,0,Proactive Organizers,4.557908635069646
Albania,1,Balanced Mainstream,24.481573416526825
Czech Republic,1,Balanced Mainstream,17.39623760936629
Bolivia,1,Balanced Mainstream,38.41203065514333
Austria,0,Proactive Organizers,13.997987177405115
Argentina,1,Balanced Mainstream,11.85254607799538
Serbia,0,Proactive Organizers,5.930143043341126
Hungary,1,Balanced Mainstream,31.39757845060851
Australia,1,Balanced Mainstream,32.92493338552146
Uruguay,1,Balanced Mainstream,5.054738181176304
Italy,1,Balanced Mainstream,8.094509426922544
Slovenia,1,Balanced Mainstream,33.125792787620966
Iran,1,Balanced Mainstream,14.695102139606204
Saudi Arabia,1,Balanced Mainstream,15.51358310780916
Jamaica,1,Balanced Mainstream,32.08739427636299
Turkey,1,Balanced Mainstream,7.4433775377356435
Scotland,1,Balanced Mainstream,43.836473499764836
Brazil,0,Proactive Organizers,15.229648459698632
Slovakia,1,Balanced Mainstream,18.507015410744263
Peru,1,Balanced Mainstream,36.985005384105754
Ukraine,1,Balanced Mainstream,6.148384143967553
Colombia,1,Balanced Mainstream,8.961189645100298
Denmark,0,Proactive Organizers,8.81415127039722
Cameroon,1,Balanced Mainstream,7.892048490665105
Tunisia,1,Balanced Mainstream,6.160038828867057
Portugal,2,Elite Attackers,11.936826717127696
Senegal,1,Balanced Mainstream,9.929815283564578
