team,pressing_intensity,territorial_dominance,ball_control,possession_efficiency,defensive_positioning,attacking_threat,progression_style,buildup_quality
Denmark,0.1172332942555686,23.445714285714285,56.39714285714286,0.015956598053295037,1.5087142857142857,1.0088571428571427,1.8778625954198473,0.109
Austria,0.16174686615446826,27.8675,52.705,0.024112363614443307,1.65425,1.529,1.3653846153846154,0.15325
Algeria,0.2077562326869806,26.516666666666666,68.36,0.015740594994490792,1.4876666666666667,1.2936666666666667,1.4285714285714286,0.09866666666666668
Hungary,0.07535795026375282,19.386666666666667,41.09,0.026574541589157584,1.3263333333333334,1.1106666666666667,1.72,0.164
Czech Republic,0.10471204188481677,30.53,40.39666666666667,0.023151720944590212,1.4133333333333333,1.53,1.5833333333333333,0.11499999999999999
Australia,0.07520210565895845,21.560000000000002,38.3275,0.01000300090027008,1.38875,0.39449999999999996,3.2222222222222223,0.06725
Costa Rica,0.044652824291136414,11.641666666666666,32.095,0.0038245890479068024,1.2818333333333334,0.3416,2.56,0.0776
Ghana,0.10442046641141664,22.836666666666662,42.623333333333335,0.022114108801415303,1.3573333333333333,1.1768333333333334,1.55,0.12366666666666666
Mexico,0.16685205784204674,26.55333333333333,56.71666666666667,0.012466237274049451,1.5038333333333334,1.2525,1.6036036036036037,0.061
Chile,0.11578541103820919,19.536666666666665,48.826666666666675,0.006501386962552011,1.5643333333333331,0.5366666666666666,1.9375,0.09600000000000002
Iran,0.08027829810008029,24.0,37.29,0.030991735537190084,1.3283333333333334,1.277,2.03125,0.15166666666666664
Mali,0.1759943681802182,19.636000000000003,57.79600000000001,0.01570549063952758,1.4367999999999999,1.1704,2.5,0.06520000000000001
Guinea,0.09798157946306095,18.881999999999998,49.598,0.016647799160950924,1.4336,1.0788,1.4576271186440677,0.1618
Congo DR,0.11978097193702943,26.95,45.605714285714285,0.03462775166955231,1.4107142857142858,3.4175714285714287,1.2105263157894737,0.12971428571428573
Poland,0.06466512702078522,21.035714285714285,38.847142857142856,0.021383839926683974,1.3331428571428572,1.169857142857143,1.4666666666666666,0.11657142857142858
Brazil,0.12206700122067002,27.215555555555554,57.576666666666675,0.023793787177792465,1.5206666666666666,2.5690000000000004,1.4786729857819905,0.11977777777777779
Wales,0.10003334444814939,18.88,46.160000000000004,0.009978712080894094,1.3593333333333335,0.7396666666666666,1.8928571428571428,0.051
Serbia,0.10598834128245892,20.973333333333333,51.330000000000005,0.00844832441565756,1.4503333333333333,0.8540000000000001,1.5172413793103448,0.08816666666666667
Slovenia,0.043327556325823226,22.119999999999997,32.2375,0.017097670442402225,1.27025,1.43725,1.2195121951219512,0.12774999999999997
Angola,0.08882572392965003,20.369999999999997,45.814,0.026223317774164787,1.2396,1.333,1.8780487804878048,0.11279999999999998
England,0.10268697586856067,23.419166666666666,58.317499999999995,0.0185649308456326,1.4589166666666669,1.60375,1.8155339805825244,0.09608333333333334
Panama,0.14234875444839856,26.872500000000002,53.620000000000005,0.01342777535331834,1.5422500000000001,0.80575,1.849056603773585,0.06525
Burkina Faso,0.133422281521014,26.3075,48.99,0.02386634844868735,1.46275,1.21275,1.709090909090909,0.056
Germany,0.1392515230635335,29.59875,61.31875,0.030974136595942392,1.611125,2.11975,1.4756554307116105,0.120625
Cape Verde Islands,0.1145475372279496,22.625999999999998,53.455999999999996,0.018539117538005193,1.4140000000000001,2.145,2.276595744680851,0.092
United States,0.11697860962566843,26.46857142857143,49.90857142857143,0.01649503970591701,1.5027142857142857,1.1039999999999999,1.3245033112582782,0.10757142857142857
