team,archetype,archetype_score,second_archetype,second_archetype_score,blend_score,gmm_confidence,sample_weight,wc_presence_weight,quality_adjustment,final_score,n_matches,ppda,possession_pct,defensive_line_height,field_tilt_pct,npxg,epr,progressive_carry_pct,avg_xg_per_buildup_possession
Albania,Low Intensity,35,Possession Dominant,82,35.0,1.0,0.7333,0.75,2.9,22.1,3,19.0567,35.3733,1.228,14.9533,0.728,65.5767,35.2941,0.068
Algeria,Possession Dominant,82,High Press / High Output,95,82.0,0.0,0.7333,0.75,0.3,45.4,3,4.8133,68.36,1.4877,26.5167,1.2937,63.53,40.2545,0.0987
Angola,Mid-Block Reactive,63,Possession Dominant,82,63.0,1.0,0.8222,0.75,2.8,41.6,5,11.258,45.814,1.2396,20.37,1.1764,38.134,33.172,0.1128
Argentina,High Press / High Output,95,Possession Dominant,82,95.0,1.0,1.0,1.0,2.9,97.9,13,10.0562,57.5808,1.481,21.7531,1.6432,35.9046,41.9051,0.1222
Australia,Low Intensity,35,Possession Dominant,82,35.0,1.0,0.7778,0.8571,2.3,25.6,4,13.2975,38.3275,1.3888,21.56,0.3945,99.97,20.7589,0.0672
Austria,High Press / High Output,80,Possession Dominant,82,80.0,1.0,0.7778,0.75,0.4,47.1,4,6.1825,52.705,1.6542,27.8675,1.333,41.4725,41.9627,0.1532
Belgium,Mid-Block Reactive,63,Possession Dominant,82,63.0,1.0,0.9111,0.8286,1.6,49.2,7,11.8371,55.8186,1.3927,20.4414,1.1533,69.9757,38.1282,0.1053
Bolivia,Low Intensity,35,Possession Dominant,82,35.0,1.0,0.7333,0.75,-1.5,17.7,3,10.9367,43.7333,1.342,13.5233,0.3297,261.466,32.193,0.0627
Brazil,High Press / High Output,95,Possession Dominant,82,95.0,1.0,1.0,0.8857,1.7,85.8,9,8.1922,57.5767,1.5207,27.2156,1.6114,42.0278,37.7636,0.1198
Burkina Faso,Moderate Possession,48,Possession Dominant,82,48.0,1.0,0.7778,0.75,1.9,29.9,4,7.495,48.99,1.4628,26.3075,0.625,41.9,34.316,0.056
Cameroon,Moderate Possession,48,Possession Dominant,82,48.0,1.0,0.9111,0.8286,-0.5,35.7,7,8.1971,51.6714,1.4206,26.7771,0.8374,102.46,42.8009,0.077
Canada,High Press / High Output,95,Possession Dominant,82,95.0,1.0,1.0,0.8286,-2.3,76.4,9,8.2778,49.1989,1.518,24.3644,1.1166,56.61,42.3772,0.1213
Cape Verde,Possession Dominant,82,Moderate Possession,48,82.0,0.0,0.8222,0.75,0.9,51.5,5,8.73,53.456,1.414,22.626,1.2048,53.94,30.224,0.092
